features                                                                             train    test
(0,)                                                                               0.56493 0.57080
(19,)                                                                              0.63698 0.55693
(20,)                                                                              0.65289 0.56013
(21,)                                                                              0.64049 0.55680
(22,)                                                                              0.63284 0.55387
(17, 18)                                                                           0.84707 0.68293
(17, 19)                                                                           0.84649 0.67693
(17, 20)                                                                           0.84320 0.66173
(17, 21)                                                                           0.84884 0.67507
(17, 22)                                                                           0.84196 0.66573
(18, 19)                                                                           0.83836 0.68093
(18, 20)                                                                           0.83867 0.67253
(18, 21)                                                                           0.83324 0.66267
(18, 22)                                                                           0.82667 0.65360
(19, 20)                                                                           0.81284 0.65200
(19, 21)                                                                           0.82124 0.65307
(19, 22)                                                                           0.81369 0.65533
(20, 21)                                                                           0.80182 0.64160
(20, 22)                                                                           0.80711 0.64640
(21, 22)                                                                           0.79791 0.64600
(17, 18, 19)                                                                       0.91573 0.72160
(17, 18, 20)                                                                       0.91644 0.71813
(17, 18, 21)                                                                       0.91884 0.72560
(17, 18, 22)                                                                       0.91773 0.72280
(17, 19, 20)                                                                       0.91787 0.71827
(17, 19, 21)                                                                       0.91658 0.71507
(17, 19, 22)                                                                       0.91364 0.71107
(17, 20, 21)                                                                       0.91751 0.71520
(17, 20, 22)                                                                       0.91369 0.71813
(17, 21, 22)                                                                       0.91253 0.71213
(18, 19, 20)                                                                       0.90249 0.71560
(18, 19, 21)                                                                       0.90524 0.70613
(18, 19, 22)                                                                       0.90702 0.71080
(18, 20, 21)                                                                       0.90160 0.70093
(18, 20, 22)                                                                       0.90320 0.70907
(18, 21, 22)                                                                       0.90613 0.72013
(19, 20, 21)                                                                       0.89084 0.70173
(19, 20, 22)                                                                       0.89284 0.70960
(19, 21, 22)                                                                       0.89089 0.69840
(20, 21, 22)                                                                       0.88000 0.69333
(17, 18, 19, 20)                                                                   0.94707 0.73547
(17, 18, 19, 21)                                                                   0.94796 0.73627
(17, 18, 19, 22)                                                                   0.94880 0.73707
(17, 18, 20, 21)                                                                   0.94747 0.73547
(17, 18, 20, 22)                                                                   0.94707 0.73907
(17, 18, 21, 22)                                                                   0.94836 0.73920
(17, 19, 20, 21)                                                                   0.94613 0.73347
(17, 19, 20, 22)                                                                   0.94538 0.73333
(17, 19, 21, 22)                                                                   0.94578 0.73120
(17, 20, 21, 22)                                                                   0.94418 0.72733
(18, 19, 20, 21)                                                                   0.93311 0.72667
(18, 19, 20, 22)                                                                   0.93636 0.73307
(18, 19, 21, 22)                                                                   0.93680 0.73293
(18, 20, 21, 22)                                                                   0.93360 0.72280
(19, 20, 21, 22)                                                                   0.92476 0.71973
(17, 18, 19, 20, 21)                                                               0.95831 0.74773
(17, 18, 19, 20, 22)                                                               0.95907 0.75133
(17, 18, 19, 21, 22)                                                               0.96049 0.74480
(17, 18, 20, 21, 22)                                                               0.95853 0.74800
(17, 19, 20, 21, 22)                                                               0.95920 0.73853
(18, 19, 20, 21, 22)                                                               0.94867 0.74373
(17, 18, 19, 20, 21, 22)                                                           0.96467 0.75467
(0, 1)                                                                             0.57111 0.57440
(0, 2)                                                                             0.58022 0.57440
(0, 3)                                                                             0.60573 0.60013
(0, 4)                                                                             0.64138 0.59053
(0, 5, 6, 7, 8, 9, 10)                                                             0.84089 0.76560
(0, 11, 12, 13, 14, 15, 16)                                                        0.98516 0.77293
(0, 17, 18, 19, 20, 21, 22)                                                        0.97369 0.76853
(1, 2)                                                                             0.45191 0.45107
(1, 3)                                                                             0.57156 0.56907
(1, 4)                                                                             0.57298 0.55920
(1, 5, 6, 7, 8, 9, 10)                                                             0.79907 0.77840
(1, 11, 12, 13, 14, 15, 16)                                                        0.97920 0.76787
(1, 17, 18, 19, 20, 21, 22)                                                        0.96662 0.75880
(2, 3)                                                                             0.45249 0.45147
(2, 4)                                                                             0.56867 0.55213
(2, 5, 6, 7, 8, 9, 10)                                                             0.80680 0.78093
(2, 11, 12, 13, 14, 15, 16)                                                        0.97969 0.76800
(2, 17, 18, 19, 20, 21, 22)                                                        0.96840 0.76040
(3, 4)                                                                             0.53418 0.51027
(3, 5, 6, 7, 8, 9, 10)                                                             0.80369 0.77733
(3, 11, 12, 13, 14, 15, 16)                                                        0.97898 0.76867
(3, 17, 18, 19, 20, 21, 22)                                                        0.96596 0.75773
(4, 5, 6, 7, 8, 9, 10)                                                             0.85249 0.76800
(4, 11, 12, 13, 14, 15, 16)                                                        0.98569 0.77227
(4, 17, 18, 19, 20, 21, 22)                                                        0.97342 0.76120
