features                                                                             train    test
(0,)                                                                               0.53107 0.53773
(19,)                                                                              0.40276 0.40160
(20,)                                                                              0.39116 0.39613
(21,)                                                                              0.39191 0.38760
(22,)                                                                              0.38298 0.38147
(17, 18)                                                                           0.43627 0.43280
(17, 19)                                                                           0.43351 0.43413
(17, 20)                                                                           0.43133 0.42413
(17, 21)                                                                           0.43151 0.42653
(17, 22)                                                                           0.42929 0.42360
(18, 19)                                                                           0.42671 0.42760
(18, 20)                                                                           0.42324 0.42160
(18, 21)                                                                           0.42120 0.41893
(18, 22)                                                                           0.41733 0.41760
(19, 20)                                                                           0.41684 0.41400
(19, 21)                                                                           0.41596 0.41200
(19, 22)                                                                           0.41156 0.41000
(20, 21)                                                                           0.40893 0.40627
(20, 22)                                                                           0.40711 0.40680
(21, 22)                                                                           0.40542 0.40000
(17, 18, 19)                                                                       0.44253 0.44133
(17, 18, 20)                                                                       0.44253 0.43853
(17, 18, 21)                                                                       0.44129 0.43613
(17, 18, 22)                                                                       0.43947 0.43640
(17, 19, 20)                                                                       0.44191 0.43813
(17, 19, 21)                                                                       0.43996 0.43973
(17, 19, 22)                                                                       0.43862 0.43547
(17, 20, 21)                                                                       0.43836 0.43360
(17, 20, 22)                                                                       0.43836 0.43133
(17, 21, 22)                                                                       0.43564 0.43120
(18, 19, 20)                                                                       0.43413 0.43307
(18, 19, 21)                                                                       0.43413 0.43680
(18, 19, 22)                                                                       0.43169 0.43227
(18, 20, 21)                                                                       0.43076 0.43227
(18, 20, 22)                                                                       0.42876 0.42933
(18, 21, 22)                                                                       0.42596 0.42693
(19, 20, 21)                                                                       0.42711 0.42427
(19, 20, 22)                                                                       0.42431 0.41960
(19, 21, 22)                                                                       0.42360 0.42107
(20, 21, 22)                                                                       0.41849 0.41613
(17, 18, 19, 20)                                                                   0.44933 0.44840
(17, 18, 19, 21)                                                                   0.44880 0.44760
(17, 18, 19, 22)                                                                   0.44698 0.44707
(17, 18, 20, 21)                                                                   0.44756 0.44507
(17, 18, 20, 22)                                                                   0.44618 0.44267
(17, 18, 21, 22)                                                                   0.44347 0.44120
(17, 19, 20, 21)                                                                   0.44578 0.44293
(17, 19, 20, 22)                                                                   0.44689 0.44360
(17, 19, 21, 22)                                                                   0.44422 0.44147
(17, 20, 21, 22)                                                                   0.44191 0.43827
(18, 19, 20, 21)                                                                   0.43960 0.44067
(18, 19, 20, 22)                                                                   0.43973 0.44040
(18, 19, 21, 22)                                                                   0.43813 0.44227
(18, 20, 21, 22)                                                                   0.43627 0.43640
(19, 20, 21, 22)                                                                   0.43351 0.42840
